"","id","dt","x_utm","y_utm"
"46","dt17_15",2017-03-10 18:00:00,313751.868476716,447456.1530077
"47","dt17_15",2017-03-11 10:11:00,313755.707042708,447457.414965927
"48","dt17_15",2017-03-11 17:43:00,313757.022625074,447466.015006808
"49","dt17_15",2017-03-12 10:18:00,313755.238413706,447457.500740974
"50","dt17_15",2017-03-12 17:05:00,313755.041424245,447457.437151159
"51","dt17_15",2017-03-12 17:30:00,313740.090767648,447457.88791312
"52","dt17_15",2017-03-13 10:36:00,313755.626285076,447458.350756475
"53","dt17_15",2017-03-13 18:20:00,313763.892955238,447452.643963596
"54","dt17_15",2017-03-14 08:52:00,313766.916223829,447452.416528484
"55","dt17_15",2017-03-14 11:41:00,313752.239480645,447456.365650921
"56","dt17_15",2017-03-14 15:11:00,313756.511978933,447459.565607282
"57","dt17_15",2017-03-15 08:44:00,313750.741661961,447459.098397388
"58","dt17_15",2017-03-15 11:15:00,313753.643292496,447462.784328037
"59","dt17_15",2017-03-15 15:20:00,313767.140844229,447451.681943406
"60","dt17_16",2017-03-09 17:57:00,313752.11300527,447452.095095368
"61","dt17_16",2017-03-10 09:30:00,313749.278391428,447453.07768947
"62","dt17_16",2017-03-10 15:10:00,313754.786833515,447442.010472254
"63","dt17_18",2017-03-11 08:35:00,313789.231162761,447508.965752588
"64","dt17_18",2017-03-11 17:50:00,313789.430070036,447508.660769162
"65","dt17_18",2017-03-12 08:29:00,313792.802571265,447501.118799428
"66","dt17_18",2017-03-12 16:55:00,313792.074845414,447501.962226313
"67","dt17_18",2017-03-13 10:38:00,313789.556573212,447508.776807416
"68","dt17_18",2017-03-13 15:47:00,313789.513374078,447508.776896694
"69","dt17_19",2017-03-11 15:10:00,313700.562661163,447371.548132121
"70","dt17_19",2017-03-11 15:29:00,313704.035843825,447380.06672931
"71","dt17_19",2017-03-11 16:58:00,313707.955337234,447377.353271825
"72","dt17_19",2017-03-11 18:39:00,313710.240040477,447361.855022965
"73","dt17_19",2017-03-12 08:55:00,313751.219321024,447350.636258751
"74","dt17_19",2017-03-12 10:10:00,313767.055621846,447370.745275463
"75","dt17_19",2017-03-12 11:15:00,313767.054686189,447370.739378217
"76","dt17_19",2017-03-12 11:59:00,313762.042901688,447359.456643713
"77","dt17_19",2017-03-12 12:52:00,313714.425781472,447354.207766691
"78","dt17_19",2017-03-12 14:52:00,313713.450369088,447355.174187586
"79","dt17_19",2017-03-12 17:15:00,313713.464738687,447355.253215683
"80","dt17_19",2017-03-13 11:00:00,313725.103027213,447354.249126884
"81","dt17_19",2017-03-13 17:35:00,313713.742444284,447354.635007541
"82","dt17_19",2017-03-14 08:14:00,313714.34897389,447354.925777583
"83","dt17_19",2017-03-14 10:59:00,313723.960364377,447354.64669969
"84","dt17_19",2017-03-14 16:30:00,313713.729335422,447354.679087616
"85","dt17_2",2017-02-28 11:00:00,313699.814921943,447402.030924151
"86","dt17_2",2017-02-28 18:15:00,313699.943679917,447398.642074867
"87","dt17_2",2017-03-01 11:25:00,313708.318253121,447404.48232511
"88","dt17_2",2017-03-01 16:00:00,313702.800091377,447396.522633774
"89","dt17_20",2017-03-11 17:50:00,313789.267082352,447508.723940702
"90","dt17_20",2017-03-12 09:30:00,313793.432372601,447518.674338872
"91","dt17_20",2017-03-12 16:59:00,313799.170284457,447507.000219487
"92","dt17_20",2017-03-13 10:30:00,313792.290126623,447518.172329724
"93","dt17_20",2017-03-13 15:47:00,313789.513329628,447508.755387374
"94","dt17_22",2017-03-13 17:35:00,313713.84218498,447354.438463624
"95","dt17_22",2017-03-14 08:22:00,313724.608455939,447354.744203086
"96","dt17_22",2017-03-14 11:10:00,313737.976412153,447355.12303992
"97","dt17_22",2017-03-14 16:35:00,313716.634227491,447353.092661855
"98","dt17_23",2017-03-14 17:45:00,313739.775953513,447432.738737818
"99","dt17_23",2017-03-15 08:49:00,313740.153274253,447432.641427084
"100","dt17_23",2017-03-15 15:09:00,313741.695578689,447424.860906731
"101","dt17_24",2017-03-14 18:56:00,313709.380708506,447519.90229993
"102","dt17_24",2017-03-15 09:25:00,313702.029293808,447530.987002057
"103","dt17_24",2017-03-15 11:30:00,313713.166153732,447528.160789589
"104","dt17_24",2017-03-15 18:15:00,313703.657358579,447517.737581947
"105","dt17_24",2017-03-16 09:05:00,313711.610746257,447523.740803395
"106","dt17_24",2017-03-16 16:00:00,313709.635664361,447520.448775327
"107","dt17_25",2017-03-14 18:51:00,313686.393732891,447482.791031311
"108","dt17_25",2017-03-15 09:10:00,313703.975742198,447488.078422898
"109","dt17_25",2017-03-15 18:09:00,313707.413827859,447488.38406356
"110","dt17_25",2017-03-16 09:00:00,313694.454853588,447501.44049576
"111","dt17_25",2017-03-16 16:27:00,313690.365192831,447493.043995991
"112","dt17_26",2017-03-15 09:48:00,313695.851076434,447369.236999329
"113","dt17_26",2017-03-15 17:10:00,313695.241099103,447375.214966797
"114","dt17_26",2017-03-16 08:34:00,313704.912140772,447368.705277035
"115","dt17_26",2017-03-16 19:25:00,313696.90259096,447371.356600562
"116","dt17_26",2017-03-17 09:21:00,313697.49177006,447371.784294227
"117","dt17_26",2017-03-17 18:40:00,313697.613585526,447378.677052721
"118","dt17_26",2017-03-18 10:56:00,313705.393816139,447369.91011857
"119","dt17_26",2017-03-18 15:25:00,313704.192868404,447368.082131375
"120","dt17_27",2017-03-15 11:30:00,313710.302030394,447532.949931109
"121","dt17_27",2017-03-15 18:20:00,313720.744118126,447540.914748008
"122","dt17_27",2017-03-16 09:25:00,313764.447102006,447569.441406993
"123","dt17_27",2017-03-16 13:26:00,313788.071382646,447572.573655771
"124","dt17_28",2017-03-16 08:15:00,313685.506570059,447472.8028867
"125","dt17_28",2017-03-16 19:00:00,313676.227806953,447461.902509037
"126","dt17_28",2017-03-17 09:35:00,313669.439743166,447467.148999911
"127","dt17_28",2017-03-17 15:40:00,313675.458483501,447468.32092995
"128","dt17_29",2017-03-16 16:00:00,313711.059347997,447522.438241886
"129","dt17_29",2017-03-17 10:24:00,313704.503508717,447522.083738274
"130","dt17_29",2017-03-17 18:10:00,313703.744565035,447519.75515432
"131","dt17_29",2017-03-18 08:25:00,313705.526349673,447519.240317348
"132","dt17_29",2017-03-18 17:55:00,313704.458591859,447519.242525094
"133","dt17_29",2017-03-19 08:58:00,313709.18506639,447516.256791981
"134","dt17_29",2017-03-19 15:45:00,313700.984905514,447522.906782879
"135","dt17_3",2017-03-01 10:40:00,313728.95340797,447264.51676116
"136","dt17_3",2017-03-01 18:45:00,313731.2922909,447261.261200148
"137","dt17_3",2017-03-02 08:25:00,313734.753665201,447268.293444013
"138","dt17_3",2017-03-02 17:18:00,313735.489739148,447261.906910368
